Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,Tipe klasifikasi HS,Tipe klasifikasi Abusive
cowok usaha lacak perhati lantas remeh perhati kasih khusus basic cowok bego,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
telat tau eluedan sarap gaul cigax jifla cal licew,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
41 kadang pikir percaya tuhan jatuh berkalikali kadang tuhan tinggal orang tua rencana pisah kakak pilih kristen anak ter,0,0,0,0,0,0,0,0,0,0,0,0,No,No
akunnku tau mata sipit lihat,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kaum cebong kafir lihat dongok dungu haha,1,1,0,1,1,0,0,0,0,0,1,0,Yes,Yes
ya bani taplak kawan kawan xf0x9fx98x84xf0x9fx98x84xf0x9fx98x84,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
deklarasi pilih kepala daerah 2018 aman anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,No,No
selesai rewatch aldnoah zero kampret 2 karakter utama cowok kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
admin belanja po nak makan ais kepal milo ais kepal horlicks cendol toping kau kau doket gerai rozak me uaku taipan 2 kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0,No,No
enak ngewe,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
gue jari gue ukur nyali bacot xf0x9fx98x8f,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
banci kaleng malu pe anyaan 2 nyungsep koe uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
ajar ekonomi mesti jago privatisasi hati orang aduh ironi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
aktor huru hara 98 prabowo si lengser perintah jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0,Yes,No
bu guru enak jablay guru sekolah dasar sihnkayaknya nikmat pecun guru,1,1,1,0,0,0,0,1,0,1,0,0,Yes,Yes
lawan bicara gue intelek kayak otak kencing onta gue hadis nabi sahih kafir kayak tolak ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0,Yes,Yes
pikir ampas banget ya,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ari bek rapi monyetxf0x9fx98x86xf0x9fx98x86,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
cowok gantle gantle nama banci,1,1,0,1,0,0,0,1,0,0,1,0,Yes,Yes
alga mnr bom xf0x9fx98x82,0,0,0,0,0,0,0,0,0,0,0,0,No,No
anjing ya gue jarang ambek takut wkwk gue budak cinta,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
noob peluang sakit nya gede sih,0,0,0,0,0,0,0,0,0,0,0,0,No,No
joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
ajar camat bilah hilir deklarasi anti hoaks amp pilih kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0,No,No
bandara udara internasional ajati bangun gubernur ahmad heryawan anggar belanja negara perintah pusat insya allah operasi,0,0,0,0,0,0,0,0,0,0,0,0,No,No
gubernur presiden rakyat ya,0,0,0,0,0,0,0,0,0,0,0,0,No,No
sih kerja delay mulu setan,1,1,0,1,0,0,0,0,1,0,1,0,Yes,Yes
pintu sorga pintu sorga asli pintu hati modus banget,0,0,0,0,0,0,0,0,0,0,0,0,No,No
partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0,1,0,0,0,0,1,0,Yes,No
neneknenek heran cebong bohong,1,1,1,0,0,0,0,0,1,1,0,0,Yes,Yes
islam nusantara produk jil pasar gencar antekxc2xb2 jilnnsementara jil anti arab pro asengnnkata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0,Yes,No
habis sahur jam 10 si bayi nete kali lemas xf0x9fxa4xa2,0,0,0,0,0,0,0,0,0,0,0,0,No,No
kak emak suka sipit wkwk,0,0,0,0,0,0,0,0,0,0,0,0,No,No
laku homo jaman now ngentot live blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0,No,Yes
